module,rank_within_module,gene,selection_rule,panel_status,module_memberships,n_module_memberships
ZG_aldosterone_program,12,CACNA1H,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,13,ATP2B3,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
intermediate_steroidogenic_program,1,CYP11A1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program,1
intermediate_steroidogenic_program,2,STAR,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program,1
intermediate_steroidogenic_program,3,HSD3B2,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program;intermediate_steroidogenic_program,2
intermediate_steroidogenic_program,4,CYP21A2,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program,1
intermediate_steroidogenic_program,5,MC2R,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program;ZF_cortisol_program,2
intermediate_steroidogenic_program,6,FDX1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program,1
intermediate_steroidogenic_program,7,FDXR,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program,1
intermediate_steroidogenic_program,8,SCARB1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program,1
intermediate_steroidogenic_program,9,TSPO,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program,1
intermediate_steroidogenic_program,10,NR5A1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program,1
ZF_cortisol_program,1,CYP11B1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program,1
ZF_cortisol_program,2,CYP17A1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program;ZR_androgen_program,2
ZF_cortisol_program,3,MC2R,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",intermediate_steroidogenic_program;ZF_cortisol_program,2
ZF_cortisol_program,4,SULT2A1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program;ZR_androgen_program,2
ZF_cortisol_program,5,CYB5A,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program;ZR_androgen_program,2
ZF_cortisol_program,6,PAPSS2,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program;ZR_androgen_program,2
ZF_cortisol_program,7,AKR1B1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program,1
ZF_cortisol_program,8,PDE8B,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program,1
ZR_androgen_program,1,CYP17A1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program;ZR_androgen_program,2
ZR_androgen_program,2,CYB5A,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program;ZR_androgen_program,2
ZR_androgen_program,3,SULT2A1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program;ZR_androgen_program,2
ZR_androgen_program,4,SULT2B1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZR_androgen_program,1
ZR_androgen_program,5,PAPSS2,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZF_cortisol_program;ZR_androgen_program,2
ZR_androgen_program,6,AKR1C3,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZR_androgen_program,1
ZR_androgen_program,7,HSD17B2,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZR_androgen_program,1
ZR_androgen_program,8,HSD17B6,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZR_androgen_program,1
